n,seconds
1,0.0000099970
2,0.0000049080
3,0.0000064630
4,0.0000034490
5,0.0000037530
6,0.0000082360
7,0.0000053460
8,0.0000073990
9,0.0000072600
10,0.0000089560
11,0.0000145940
12,0.0000157920
13,0.0000175220
14,0.0000129640
15,0.0000172140
16,0.0000165290
17,0.0000189030
18,0.0000177310
19,0.0000197760
20,0.0000223890
21,0.0000249730
22,0.0040080300
23,0.0000267030
24,0.0000272380
25,0.0000313440
26,0.0000319330
27,0.0000347040
28,0.0000362330
29,0.0000381580
30,0.0000413120
31,0.0000525610
32,0.0000449100
33,0.0000478180
34,0.0000498450
35,0.0000519370
36,0.0000549390
37,0.0024151130
38,0.0001100990
39,0.0000638140
40,0.0000648560
41,0.0000907450
42,0.0000706920
43,0.0001128300
44,0.0000759060
45,0.0000836090
46,0.0000829550
47,0.0000821560
48,0.0000892680
49,0.0043896350
50,0.0000931750
51,0.0000948560
52,0.0000986650
53,0.0001027280
54,0.0001069820
55,0.0001130390
56,0.0001158520
57,0.0030311040
58,0.0001219360
59,0.0001291340
60,0.0001303950
61,0.0001333330
62,0.0001406250
63,0.0001416090
64,0.0001462160
65,0.0001542670
66,0.0001537980
67,0.0001581850
68,0.0001667850
69,0.0001682560
70,0.0001713420
71,0.0001785690
72,0.0001830600
73,0.0001851340
74,0.0001931860
75,0.0002118930
76,0.0002123360
77,0.0002094510
78,0.0002386460
79,0.0002190510
80,0.0002325500
81,0.0002339350
82,0.0048764810
83,0.0002522870
84,0.0002563010
85,0.0003141390
86,0.0002583840
87,0.0002954840
88,0.0003637460
89,0.0002763230
90,0.0002851740
91,0.0003932110
92,0.0003049360
93,0.0003862140
94,0.0003117880
95,0.0003200470
96,0.0003214270
97,0.0020883300
98,0.0003409650
99,0.0003443600
100,0.0003503490
101,0.0004036630
102,0.0004188810
103,0.0004173450
104,0.0005008480
105,0.0003831410
106,0.0003899740
107,0.0004401440
108,0.0014487360
109,0.0004811590
110,0.0004442880
111,0.0004199810
112,0.0004286910
113,0.0004354760
114,0.0004892870
115,0.0004583600
116,0.0004637720
117,0.0005028800
118,0.0005787570
119,0.0004849070
120,0.0004946220
121,0.0004999670
122,0.0005060120
123,0.0005192410
124,0.0005725280
125,0.0006382390
126,0.0005471720
127,0.0006126040
128,0.0005565860
129,0.0007438510
130,0.0006171300
131,0.0006337910
132,0.0005916610
133,0.0005988630
134,0.0006062080
135,0.0006417140
136,0.0006310490
137,0.0006352640
138,0.0006782480
139,0.0006951430
140,0.0006839690
141,0.0006650990
142,0.0007040520
143,0.0006818030
144,0.0006838650
145,0.0006989270
146,0.0007054980
147,0.0007145050
148,0.0032857600
149,0.0007445650
150,0.0007465460
151,0.0009280090
152,0.0007727470
153,0.0007805420
154,0.0007900520
155,0.0008562940
156,0.0008440630
157,0.0038920820
158,0.0008246540
159,0.0008303330
160,0.0058595400
161,0.0008464940
162,0.0008580160
163,0.0008630900
164,0.0077786770
165,0.0008918620
166,0.0009598620
167,0.0009932320
168,0.0009415150
169,0.0009294940
170,0.0009368720
171,0.0061666860
172,0.0010879020
173,0.0009833490
174,0.0010594950
175,0.0011320730
176,0.0010429890
177,0.0010652370
178,0.0010397550
179,0.0012231600
180,0.0011522450
181,0.0011638320
182,0.0011546890
183,0.0010974210
184,0.0011017420
185,0.0012135470
186,0.0011225770
187,0.0011236420
188,0.0011677600
189,0.0012267740
190,0.0011624830
191,0.0012677470
192,0.0011833570
193,0.0012012250
194,0.0012487520
195,0.0013028280
196,0.0013257190
197,0.0012788760
198,0.0014628830
199,0.0012979890
200,0.0013153600
201,0.0012943790
202,0.0013482840
203,0.0013276850
204,0.0014195920
205,0.0014565270
206,0.0014565250
207,0.0014057740
208,0.0014430680
209,0.0014319800
210,0.0031331630
211,0.0015146780
212,0.0015486890
213,0.0017487320
214,0.0014806070
215,0.0015491450
216,0.0016554060
217,0.0015752810
218,0.0056314250
219,0.0015505340
220,0.0072017480
221,0.0016394040
222,0.0017607670
223,0.0016147310
224,0.0073611240
225,0.0016195910
226,0.0016226040
227,0.0111874650
228,0.0018858400
229,0.0017356330
230,0.0017321860
231,0.0017146760
232,0.0017074840
233,0.0087048190
234,0.0017393460
235,0.0017849920
236,0.0020439000
237,0.0018325610
238,0.0060006210
239,0.0018531150
240,0.0065715770
241,0.0066493870
242,0.0019245970
243,0.0019694430
244,0.0088593420
245,0.0020096540
246,0.0019628440
247,0.0019238200
248,0.0083063380
249,0.0064069530
250,0.0058945570
251,0.0022330380
252,0.0099572480
253,0.0020674240
254,0.0072159360
255,0.0020977500
256,0.0091473750
257,0.0021676390
258,0.0074589540
259,0.0024028550
260,0.0050109630
261,0.0044852950
262,0.0077382870
263,0.0022579920
264,0.0073419590
265,0.0023735130
266,0.0062987620
267,0.0022743570
268,0.0023666160
269,0.0060213390
270,0.0064231490
271,0.0023439080
272,0.0066380120
273,0.0023859070
274,0.0024321660
275,0.0023887270
276,0.0024341160
277,0.0079106800
278,0.0024207360
279,0.0088052020
280,0.0025209230
281,0.0025474210
282,0.0060596970
283,0.0025418970
284,0.0084904420
285,0.0060498480
286,0.0026062580
287,0.0071118610
288,0.0041418070
289,0.0064515330
290,0.0127263720
291,0.0036233590
292,0.0127602710
293,0.0077932020
294,0.0033093830
295,0.0060130510
296,0.0030656560
297,0.0058283100
298,0.0084345780
299,0.0067536870
300,0.0063155080
301,0.0066803830
302,0.0031614530
303,0.0090192020
304,0.0069696820
305,0.0029707430
306,0.0074477770
307,0.0053570850
308,0.0029632510
309,0.0102149640
310,0.0033549420
311,0.0107018740
312,0.0030324910
313,0.0090010900
314,0.0033639210
315,0.0032982810
316,0.0032372900
317,0.0032417430
318,0.0034181730
319,0.0037901540
320,0.0032889420
321,0.0032497920
322,0.0032199160
323,0.0034492550
324,0.0039449900
325,0.0033932360
326,0.0038592750
327,0.0037745570
328,0.0035370990
329,0.0034231610
330,0.0036020470
331,0.0035338660
332,0.0036925640
333,0.0051875470
334,0.0041325410
335,0.0034868650
336,0.0035111450
337,0.0035621010
338,0.0080754170
339,0.0080127870
340,0.0041041900
341,0.0038433050
342,0.0072022690
343,0.0038296560
344,0.0040611480
345,0.0046099570
346,0.0041092030
347,0.0044269160
348,0.0042209660
349,0.0044067410
350,0.0043301220
351,0.0066266890
352,0.0067909090
353,0.0051583880
354,0.0056852780
355,0.0044741080
356,0.0050341750
357,0.0052080170
358,0.0041904250
359,0.0057795440
360,0.0043416090
361,0.0041185970
362,0.0044036560
363,0.0046131500
364,0.0043027220
365,0.0042602380
366,0.0055656360
367,0.0042854360
368,0.0063424100
369,0.0044280650
370,0.0050957650
371,0.0045436010
372,0.0047012660
373,0.0097483930
374,0.0085584070
375,0.0045312380
376,0.0090271400
377,0.0047541770
378,0.0052954360
379,0.0063277880
380,0.0049483000
381,0.0071986790
382,0.0050695890
383,0.0088018170
384,0.0049794720
385,0.0047953890
386,0.0048833650
387,0.0050225070
388,0.0090666030
389,0.0069945920
390,0.0054850530
391,0.0049420810
392,0.0051176750
393,0.0050208920
394,0.0055207670
395,0.0053376650
396,0.0096999660
397,0.0112796430
398,0.0150315120
399,0.0088918750
400,0.0106972800
401,0.0130024980
402,0.0113363440
403,0.0131862980
404,0.0151221180
405,0.0057361470
406,0.0123603910
407,0.0111396630
408,0.0117325380
409,0.0115596180
410,0.0117626620
411,0.0104521370
412,0.0096321160
413,0.0054237480
414,0.0097328210
415,0.0054165270
416,0.0174202620
417,0.0128042100
418,0.0140676530
419,0.0139115730
420,0.0098327950
421,0.0125354640
422,0.0105387290
423,0.0057616270
424,0.0101440660
425,0.0065844640
426,0.0059272650
427,0.0059595660
428,0.0058735110
429,0.0064622690
430,0.0060702880
431,0.0061319290
432,0.0066461450
433,0.0063514960
434,0.0062812720
435,0.0063649890
436,0.0072930510
437,0.0068475970
438,0.0080189580
439,0.0070495660
440,0.0093263200
441,0.0194077840
442,0.0174851800
443,0.0072647620
444,0.0069734560
445,0.0072833310
446,0.0109609960
447,0.0081657630
448,0.0116647000
449,0.0085721430
450,0.0118780490
451,0.0096238270
452,0.0196617910
453,0.0101369670
454,0.0328587770
455,0.0145611910
456,0.0094196570
457,0.0099704090
458,0.0074055900
459,0.0070412140
460,0.0123133370
461,0.0109874850
462,0.0083095090
463,0.0126717700
464,0.0171948870
465,0.0099439240
466,0.0073330560
467,0.0074263120
468,0.0077832910
469,0.0141962270
470,0.0093047920
471,0.0158172340
472,0.0157812820
473,0.0173640640
474,0.0164486750
475,0.0165199920
476,0.0102806260
477,0.0188901860
478,0.0105993740
479,0.0087925320
480,0.0089801950
481,0.0107340470
482,0.0157549390
483,0.0129127620
484,0.0142139730
485,0.0128169680
486,0.0141553690
487,0.0119622530
488,0.0159149660
489,0.0223095870
490,0.0096115150
491,0.0098724540
492,0.0113472100
493,0.0141029190
494,0.0129689710
495,0.0110722430
496,0.0090897760
497,0.0103312390
498,0.0091606200
499,0.0090770330
500,0.0086792270
501,0.0088505740
502,0.0125352040
503,0.0093674730
504,0.0108298220
505,0.0089023130
506,0.0091892640
507,0.0119213260
508,0.0109801330
509,0.0112418780
510,0.0089037390
511,0.0092362560
512,0.0108002930
513,0.0096147760
514,0.0087008170
515,0.0108727520
516,0.0118555000
517,0.0085587590
518,0.0090032940
519,0.0116726180
520,0.0143097590
521,0.0182068910
522,0.0150031140
523,0.0135657070
524,0.0086124940
525,0.0225276770
526,0.0172702740
527,0.0186441960
528,0.0207444450
529,0.0240545240
530,0.0187391950
531,0.0210676640
532,0.0184231310
533,0.0186279120
534,0.0173621110
535,0.0174673190
536,0.0225793050
537,0.0189039320
538,0.0194092210
539,0.0187621340
540,0.0233876230
541,0.0174401310
542,0.0145868710
543,0.0244194650
544,0.0241362170
545,0.0207058910
546,0.0189810750
547,0.0136079010
548,0.0152069030
549,0.0120140930
550,0.0099840940
551,0.0123749400
552,0.0126997330
553,0.0154327000
554,0.0332521010
555,0.0152657040
556,0.0359154580
557,0.0546801830
558,0.0230270210
559,0.0224271650
560,0.0243145500
561,0.0308165490
562,0.0127914990
563,0.0157496310
564,0.0283591100
565,0.0148272990
566,0.0169176340
567,0.0240872570
568,0.0177856150
569,0.0188661000
570,0.0194805070
571,0.0182616930
572,0.0138758290
573,0.0217905200
574,0.0130654650
575,0.0115483120
576,0.0108801170
577,0.0109039640
578,0.0107590530
579,0.0157600290
580,0.0119118030
581,0.0115966740
582,0.0111082660
583,0.0110229160
584,0.0124564220
585,0.0160474320
586,0.0143359740
587,0.0202905080
588,0.0117725720
589,0.0113970150
590,0.0114314050
591,0.0112294180
592,0.0121756100
593,0.0113392750
594,0.0122891250
595,0.0114272950
596,0.0128727000
597,0.0114158520
598,0.0118390400
599,0.0119576030
600,0.0135337220
601,0.0132177880
602,0.0121649810
603,0.0137517360
604,0.0147429800
605,0.0131375980
606,0.0121727160
607,0.0121097710
608,0.0120005680
609,0.0148109030
610,0.0129378740
611,0.0124132500
612,0.0134857630
613,0.0124737730
614,0.0122991810
615,0.0171830680
616,0.0290622380
617,0.0124102580
618,0.0124354000
619,0.0124387030
620,0.0147027900
621,0.0128431400
622,0.0125493680
623,0.0126152800
624,0.0141350370
625,0.0124830990
626,0.0125272270
627,0.0128060000
628,0.0159311180
629,0.0129006080
630,0.0132184820
631,0.0129479610
632,0.0142389080
633,0.0159676450
634,0.0139724530
635,0.0132512130
636,0.0145195610
637,0.0130757910
638,0.0132729760
639,0.0130972690
640,0.0143908470
